time,C
0,0.001111571
1,0.174223006
2,0.232797187
3,0.287199536
4,0.337727186
5,0.384656107
6,0.428242612
8,0.506291195
10,0.573618393
12,0.631697034
15,0.704157035
18,0.762213134
24,0.845727726
32,0.912381287
48,0.969254729
72,0.991863922
96,0.997205882
120,0.999071694
144,1
