time,C
0,0.410903688
1,0.634239659
2,0.83697876
3,1.020675054
4,1.186770304
5,1.336601999
6,1.471410807
8,1.700479405
10,1.882216166
12,2.02370689
15,2.173567741
18,2.263443519
24,2.314756361
32,2.221111597
48,1.82474549
72,1.222909736
96,0.789964515
120,0.505511187
144,0.322683134
